gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000150938,CRIM1,-4.19069760413,-0.231471478373,2.78098095601e-05,0.0983344808163,0.13320775358,1.97496173512e-30,7.47907447189e-30,37,37,37
ENSG00000171055,FEZ2,3.97075348924,0.218546388006,7.16456810029e-05,0.23453565545,0.261426523524,1.48264755477e-62,1.06245652578e-61,24,24,24
ENSG00000163995,ABLIM2,-3.65940334247,-0.205860756836,0.000252803173193,0.0183096836859,0.0219411680431,6.28445795393e-06,1.07903266473e-05,30,31,31
ENSG00000148290,SURF1,-3.64844708289,-0.199513187969,0.000263830229484,0.304104191159,0.33451770236,1.99333319453e-83,2.03363218475e-82,79,80,80
ENSG00000106948,AKNA,-3.64643174259,-0.202144263884,0.000265907068301,0.0318390498829,0.0736112614122,5.07715379037e-17,1.34495560283e-16,9,9,9
ENSG00000174306,ZHX3,3.59618143401,0.196597491001,0.000322922613027,0.00632513808317,0.00666029842975,0.0131811555203,0.0184044311839,14,14,14
EFHA1,EFHA1,-3.47089854467,-0.194073732125,0.00051871994536,0.072892025377,0.0899616956327,1.27557974451e-20,3.76358889224e-20,27,27,27
ENSG00000182118,FAM89A,3.33698080012,0.182571467702,0.000846937986942,0.147107349684,0.222578978913,2.79540471948e-52,1.66222463026e-51,17,17,17
ENSG00000154914,USP43,3.32615514849,0.178606438585,0.000880529018954,0.0381102512219,0.0583674054464,1.03521890008e-13,2.44879097216e-13,32,32,32
ENSG00000140521,POLG,3.30977284347,0.182266780351,0.000933717140777,0.00306278623238,0.00332532759967,0.0801067403218,0.104629698213,10,10,10
ENSG00000146707,POMZP3,3.27284696105,0.180261080964,0.00106470108379,0.726108944946,0.648702759178,3.34218412786e-211,1.78218247563e-209,111,111,111
ENSG00000107960,OBFC1,3.25809143994,0.183528815784,0.0011216425803,0.0172551182496,0.0360441539728,6.25174489258e-09,1.23155447173e-08,7,7,7
ENSG00000125458,NT5C,3.25152556094,0.182489421493,0.00114787453632,0.0543352568638,0.0775424754674,6.99936056344e-18,1.90079542229e-17,25,25,25
ENSG00000167965,MLST8,3.24363139844,0.178242066514,0.00118016362258,0.17074433924,0.222516785278,2.90058891818e-52,1.72399172569e-51,11,11,11
ENSG00000136052,SLC41A2,3.23390507824,0.177553423481,0.00122110032842,0.0147673262722,0.0173615699509,5.99514504749e-05,9.75683373538e-05,32,32,32
ENSG00000005884,ITGA3,3.23121948486,0.195883764064,0.00123263248106,0.0623211013783,0.114924800015,3.14083662449e-26,1.08066769021e-25,12,12,12
ENSG00000154813,DPH3,-3.22434339813,-0.175602832262,0.00126261893262,0.0992404820703,0.112939946953,8.87708472209e-26,3.01030079492e-25,35,36,36
ENSG00000206561,COLQ,3.20262638932,0.17648650225,0.00136180528025,0.0540169057877,0.0914446883773,5.97612176546e-21,1.78362791237e-20,18,18,18
ENSG00000101082,SLA2,-3.18547844688,-0.174197123034,0.0014451486812,0.00182025656138,0.000503849183204,0.496036389168,0.593288710655,4,4,4
ENSG00000083123,BCKDHB,-3.16844199122,-0.180841834923,0.00153258329735,0.0809559469055,0.0846819924178,1.88020484484e-19,5.36485658827e-19,70,70,70
ENSG00000153310,FAM49B,-3.13967671111,-0.172841372972,0.00169134372276,0.00244117195966,0.00109193363478,0.316204394037,0.388355844262,13,14,14
ENSG00000165699,TSC1,-3.13639914969,-0.167550208634,0.00171036249561,0.00277867978911,0.00420967838636,0.0488945175551,0.065049463709,11,11,11
ENSG00000140374,ETFA,-3.13304828592,-0.17501435938,0.0017300097935,0.212903126481,0.230959195156,1.8763873734e-54,1.16027690587e-53,31,31,31
ENSG00000172794,RAB37,3.12991530633,0.170838624856,0.00174856708725,0.00702131305854,0.0101103296759,0.0022374500587,0.00330931552197,15,15,15
ENSG00000144320,KIAA1715,3.12656177824,0.173083238847,0.00176863340764,0.164516095374,0.254552567048,1.06537270691e-60,7.37363317013e-60,60,61,61
ENSG00000141068,KSR1,-3.12354710667,-0.169426555055,0.00178685259891,0.208492563514,0.242717742982,1.52932372813e-57,1.00262433167e-56,29,29,29
ENSG00000187147,RNF220,-3.11081691513,-0.173199814859,0.00186570575972,0.000602868056574,0.000959617053604,0.347438196922,0.42465743241,5,5,5
ENSG00000126814,TRMT5,-3.09670500441,-0.177911703115,0.00195684502158,0.0443830289246,0.0230045027208,3.72816698707e-06,6.46781972955e-06,44,44,44
ENSG00000214530,STARD10,3.08329354991,0.168874511729,0.00204723102058,0.28784065611,0.48280040783,7.24938395861e-134,1.55507550682e-132,19,20,20
ENSG00000159212,CLIC6,3.07739528514,0.166013458687,0.00208818191151,0.0793613991499,0.0689389721659,5.30273084059e-16,1.36277595905e-15,74,74,74
